禁止 | kinshi | Cấm chỉ | Cấm | Prohibition | 立入禁止の 看板の 前で、彼は [禁止された 理由を 悲しげに] 語った。~さびしげ | Trước tấm biển cấm vào, anh ấy đã kể về lý do bị cấm đoán với vẻ mặt buồn bã. | In front of the "No Entry" sign, he talked about the reason for the prohibition with a sad look. | そのような様子に見える。 | Diễn tả vẻ bề ngoài hoặc cảm xúc (Vẻ.../Có vẻ...). | Indicates an appearance or emotion based on observation. | Tuần_1_Ngày_1_N2
関心 | kanshin | Quan tâm | Quan tâm | Interest | 政治への [関心は 抜きにして]、今日は 楽しく 語り合おう。~仕事の話は抜きにして | Dẹp sự quan tâm đến chính trị sang một bên, hôm nay hãy cùng trò chuyện vui vẻ nào. | Putting aside interest in politics, let's have a pleasant chat today. | ~を入れないで。 | Bỏ qua... / Dẹp... sang một bên. | Leaving out... / Without... | Tuần_1_Ngày_1_N2
関わる [自] | kakawaru | Quan | Liên quan | Involved in | 事件に [関わるのではないかと 心配でたまらない]。~心配でたまらない | Tôi lo lắng không chịu nổi về việc liệu mình có dính líu đến vụ án hay không. | I am incredibly worried that I might be involved in the case. | 非常に~だ。 | Rất... không chịu nổi. | Extremely... / Can't help but... | Tuần_1_Ngày_1_N2
に関する | nikansuru | Quan | Liên quan đến | Related to | 事故に [に関する ニュースが 気になってしょうがない]。~ひまでしょうがない | Tôi sốt ruột không chịu nổi khi nghe những tin tức liên quan đến vụ tai nạn đó. | I am so concerned about the news regarding the accident. | とても~だ。 | Rất... không chịu nổi. | Very... / So... that I can't help it. | Tuần_1_Ngày_1_N2
関係 | kankei | Quan hệ | Quan hệ | Relationship | 複雑な [人間関係は 面倒くさくてかなわない]。~うるさくてかなわない | Mối quan hệ giữa người với người phức tạp thật phiền phức không chịu nổi. | Complicated human relationships are so troublesome that I can't stand it. | ~で困る。 | Rất... (khó chịu/không chịu nổi). | So... that it's problematic. | Tuần_1_Ngày_1_N2
係り | kakari | Hệ | Người phụ trách | Person in charge | 案内の [係りに なれなくて 残念でならない]。~残念でならない | Tôi thấy vô cùng tiếc nuối vì đã không thể trở thành người phụ trách hướng dẫn. | I cannot help but feel deeply disappointed that I couldn't be the guide in charge. | 自然に~という気持ちになる。 | Vô cùng... / Hết sức... (cảm xúc tự nhiên). | Naturally feel very... | Tuần_1_Ngày_1_N2
係員 | kakariin | Hệ viên | Nhân viên | Staff | [係員の 指示を 聞かないことはない] が、納得できない。~食べないことはない | Không phải là tôi không nghe theo chỉ thị của nhân viên, nhưng tôi không phục. | It's not that I don't listen to the staff's instructions, but I can't accept them. | 少しは~だ。 | Không phải là không... | It's not that... doesn't happen (double negative). | Tuần_1_Ngày_1_N2
転落 | tenraku | Chuyển lạc | Rơi xuống | Fall | 注意すれば、[階段からの 転落を 防げないこともない]。~覚えられないこともない | Nếu chú ý thì không phải là không thể phòng tránh việc rơi khỏi cầu thang. | If you are careful, it's not impossible to prevent falling down the stairs. | ~かもしれない。 | Không hẳn là không... | It's not impossible to... | Tuần_1_Ngày_1_N2
落第 | rakudai | Lạc đệ | Thi trượt | Failing a grade | [落第して 泣かないではいられない]。~言わないではいられない | Tôi không thể không khóc khi bị trượt (lưu ban). | I can't help but cry after failing the grade. | どうしても~してしまう。 | Không thể không... (kìm nén tâm lý). | Cannot help but... | Tuần_1_Ngày_1_N2
落ちる [自] | ochiru | Lạc | Rớt, rơi | To fall/fail | 試験に [落ちて 悲しまずにはいられない]。~飲まずにはいられない | Rớt kỳ thi, tôi không thể không cảm thấy đau lòng. | Having failed the exam, I can't help but feel sad. | 自然に~してしまう。 | Không thể không... (tâm trạng tự nhiên). | Cannot help but... (natural reaction). | Tuần_1_Ngày_1_N2
落とす [他] | otosu | Lạc | Làm rớt | To drop | [落とした 鍵を 探さねばならない]。~帰らねばならない | Tôi phải tìm chiếc chìa khóa đã đánh rơi. | I must look for the key I dropped. | ~なければならない。 | Phải... (văn viết hoặc trang trọng). | Must... (formal). | Tuần_1_Ngày_1_N2
落石 | rakuseki | Lạc thạch | Đá rơi | Falling rocks | 山道では [落石に 注意を 忘れてはならない]。~忘れてはならない | Trên đường núi, không được quên việc chú ý đá rơi. | On mountain roads, one must not forget to watch for falling rocks. | ~してはいけない。 | Không được phép... / Phải... | Must not... / Should not... | Tuần_1_Ngày_1_N2
磁石 | jishaku | Từ thạch | Nam châm | Magnet | 磁石の [実験結果を 待っていられない]。~待っていられない | Tôi không thể tiếp tục chờ đợi kết quả thí nghiệm nam châm thêm được nữa. | I can't afford to wait any longer for the magnet experiment results. | ~続けられない。 | Không thể tiếp tục... (về mặt thời gian/tâm lý). | Cannot continue to... | Tuần_1_Ngày_1_N2
石 | ishi | Thạch | Đá | Stone | [石を 拾ってばかりはいられない]、早く 行こう。~遊んでばかりはいられない | Không thể cứ mãi nhặt đá được, đi nhanh thôi nào. | I can't just keep picking up stones; let's go quickly. | いつまでも~してはいられない。 | Không thể cứ mãi làm việc gì đó... | Cannot afford to keep doing... | Tuần_1_Ngày_1_N2
飛行場 | hikoujou | Phi hành trường | Sân bay | Airport | 毎日 [飛行場まで 通った かいがあって]、採用された。~努力のかいがあって | Thật bõ công mỗi ngày đều đi đến sân bay, tôi đã được tuyển dụng. | It was worth commuting to the airport every day; I got hired. | ~という良い結果になった。 | Bõ công... / Thật đáng công... | It was worth the effort... | Tuần_1_Ngày_1_N2
飛ぶ [自] | tobu | Phi | Bay | To fly | 自由に [空を 飛ぶ 練習をした かいもなく]、失敗した。~手術のかいもなく | Uổng công luyện tập bay tự do trên bầu trời, tôi đã thất bại. | Despite practicing flying freely, it was all for naught; I failed. | ~が報われない。 | Uổng công... / Dù đã cố gắng nhưng không kết quả. | To no avail... | Tuần_1_Ngày_1_N2
飛び出す [自] | tobidasu | Phi xuất | Lao ra | To jump out | 危険な 場所に [飛び出すのは やりがいが ない]。~やりがい | Việc lao ra nơi nguy hiểm thì không đáng để làm. | It's not worth jumping into dangerous places. | ~する価値がある。 | Đáng làm việc gì đó. | Worth doing... | Tuần_1_Ngày_1_N2
駐車場 | chuushajou | Trú xa trường | Bãi đỗ xe | Parking lot | [借金してまで 駐車場を 作る] つもりはない。~借金してまで | Tôi không có ý định làm đến mức vay nợ để xây bãi đỗ xe. | I have no intention of going so far as to borrow money to build a parking lot. | ~という極端なことをして。 | Đến mức... (thể hiện sự cực đoan). | Even to the extent of... | Tuần_1_Ngày_1_N2
駐車 | chuusha | Trú xa | Đỗ xe | Parking | [駐車 禁止の場所に 止めかけて]、止めた。~読みかける | Tôi đang định đỗ xe vào nơi cấm đỗ thì dừng lại. | I was just about to park in a no-parking zone when I stopped. | ~している途中だ。 | Đang làm dở... / Định làm... | In the middle of... / About to... | Tuần_1_Ngày_1_N2
四捨五入 | shishagonyuu | Tứ xả ngũ nhập | Làm tròn số | Rounding | 数値を [四捨五入し切って]、計算を 終えた。~読み切る | Tôi đã hoàn thành việc làm tròn các con số và kết thúc phép tính. | I finished rounding the numbers and completed the calculation. | 最後まで~する。 | Làm xong hoàn toàn... | To finish... completely. | Tuần_1_Ngày_1_N2
捨てる [他] | suteru | Xả | Vứt | To discard | 古い 道具を [捨てることは ありえる]。~ありえる (ありうる) | Việc vứt bỏ những dụng cụ cũ là điều hoàn toàn có thể xảy ra. | It is possible that the old tools will be discarded. | ~の可能性がある。 | Có thể xảy ra... | There is a possibility... | Tuần_1_Ngày_1_N2
遊泳 | yuuei | Du vịnh | Bơi lội | Swimming | 彼は [遊泳 禁止の海を 泳ぎ抜いた]。~やり抜く | Anh ấy đã bơi đến cùng ở vùng biển vốn bị cấm bơi lội. | He swam through the sea where swimming is prohibited until the end. | 最後まで~する。 | Làm đến cùng. | To do... until the very end. | Tuần_1_Ngày_1_N2
遊ぶ [自] | asobu | Du | Chơi | To play | [子供が 遊んでいる うちに]、仕事を 片付けよう。~忘れないうちに | Trong lúc trẻ con đang chơi, chúng ta hãy giải quyết xong công việc nào. | Let's finish the work while the children are playing. | ~の間に。 | Trong lúc còn... | While... / Before... | Tuần_1_Ngày_1_N2
水泳 | suiei | Thủy vịnh | Môn bơi lội | Swimming (sport) | [水泳の 授業が 始まるか 始まらないかの うちに]、雨が 降った。~終わるか終わらないかのうちに | Tiết học bơi vừa mới bắt đầu thì trời đã đổ mưa. | Just as the swimming class started, it began to rain. | ~と同時に。 | Vừa mới... thì đã... | Just as... / Right after... | Tuần_1_Ngày_1_N2
泳ぐ [自] | oyogu | Vịnh | Bơi | To swim | [海で 泳ぐ 限り]、安全に 注意しなければならない。~日本にいる限り | Chừng nào còn bơi ở biển, chừng đó còn phải chú ý an toàn. | As long as you swim in the sea, you must be careful about safety. | ~の間は。 | Chừng nào mà... | As long as... | Tuần_1_Ngày_1_N2
喫茶店 | kissaten | Khiết Trà Điếm | Quán cà phê | Coffee shop | 故郷の [喫茶店へ 帰れるものなら]、今すぐ 全てを 捨てて 帰りたい。~帰れるものなら | Nếu có thể trở về quán cà phê ở quê hương, tôi muốn vứt bỏ tất cả để về ngay bây giờ. | If I could return to the coffee shop in my hometown, I would leave everything and go back right now. | もしできるなら~したい。 | Nếu có thể... (thường là điều khó thực hiện). | If it were possible, I'd like to... | Tuần_1_Ngày_2_N2
喫煙所 | kitsuenjo | Khiết Yên Sở | Khu vực hút thuốc | Smoking area | この [喫煙所へ 帰れるものなら]、会議の ストレスを 忘れに 行きたい。~帰れるものなら | Nếu có thể quay lại khu vực hút thuốc đó, tôi muốn đi đến đó để quên đi căng thẳng của cuộc họp. | If I could return to that smoking area, I'd go there to forget the stress of the meeting. | もしできるなら~したい。 | Nếu có thể... (thường là điều khó thực hiện). | If it were possible, I'd like to... | Tuần_1_Ngày_2_N2
非~ | hi | Phi | Không~ | Non- / Un- | [非公式な 場所へ 帰れるものなら]、誰にも 会わずに 過ごしたい。~帰れるものなら | Nếu có thể trở về một nơi không chính thức (bí mật), tôi muốn sống mà không gặp bất kỳ ai. | If I could return to an unofficial place, I would like to spend time without meeting anyone. | もしできるなら~したい。 | Nếu có thể... (thường là điều khó thực hiện). | If it were possible, I'd like to... | Tuần_1_Ngày_2_N2
非常口 | hijouguchi | Phi Thường Khẩu | Lối thoát hiểm | Emergency exit | 火事の 時に [非常口へ 帰れるものなら]、みんな 助かっただろう。~帰れるものなら | Nếu lúc hỏa hoạn mà có thể quay lại lối thoát hiểm thì mọi người chắc đã được cứu rồi. | If only they could have returned to the emergency exit during the fire, everyone would have been saved. | もしできるなら~したい。 | Nếu có thể... (thường là điều khó thực hiện). | If it were possible, I'd like to... | Tuần_1_Ngày_2_N2
非常に | hijouni | Phi Thường | Rất, cực kỳ | Extremely | [非常に 若返るものなら]、もう一度 人生を やり直したい。~帰れるものなら | Nếu có thể trẻ lại một cách thần kỳ (cực kỳ trẻ lại), tôi muốn làm lại cuộc đời mình một lần nữa. | If I could become extremely young again, I would want to start my life over. | もしできるなら~したい。 | Nếu có thể... (thường là điều khó thực hiện). | If it were possible, I'd like to... | Tuần_1_Ngày_2_N2
御~ | go | Ngự | Kính ngữ | Honorific prefix | あの [御苑へ 帰れるものなら]、静かな 時間を 楽しみたい。~帰れるものなら | Nếu có thể trở về khu vườn ngự uyển đó, tôi muốn tận hưởng khoảng thời gian yên bình. | If I could return to that imperial garden, I would want to enjoy some quiet time. | もしできるなら~したい。 | Nếu có thể... (thường là điều khó thực hiện). | If it were possible, I'd like to... | Tuần_1_Ngày_2_N2
御手洗い | otearai | Ngự Thủ Tẩy | Nhà vệ sinh | Restroom | 混雑した [御手洗いから 帰れるものなら]、早く 席に 戻りたい。~帰れるものなら | Nếu có thể rời khỏi (quay về từ) nhà vệ sinh đông đúc này, tôi muốn nhanh chóng trở lại chỗ ngồi. | If I could return from the crowded restroom, I'd want to get back to my seat quickly. | もしできるなら~したい。 | Nếu có thể... (thường là điều khó thực hiện). | If it were possible, I'd like to... | Tuần_1_Ngày_2_N2
御中 | onchuu | Ngự Trung | Kính gửi (tổ chức) | To (Organization) | 昔の [会社御中へ 帰れるものなら]、当時の 同僚と また 働きたい。~帰れるものなら | Nếu có thể trở lại quý công ty cũ, tôi muốn lại được làm việc cùng các đồng nghiệp khi đó. | If I could return to my former company, I would want to work with my colleagues from that time again. | もしできるなら~したい。 | Nếu có thể... (thường là điều khó thực hiện). | If it were possible, I'd like to... | Tuần_1_Ngày_2_N2
日常 | nichijou | Nhật Thường | Hàng ngày | Daily life | 平和な [日常へ 帰れるものなら]、何も 望まない。~帰れるものなら | Nếu có thể trở về với cuộc sống đời thường bình yên, tôi sẽ không mong cầu gì thêm nữa. | If I could return to my peaceful daily life, I wouldn't ask for anything else. | もしできるなら~したい。 | Nếu có thể... (thường là điều khó thực hiện). | If it were possible, I'd like to... | Tuần_1_Ngày_2_N2
常識 | joushiki | Thường Thức | Kiến thức phổ thông | Common sense | 昨日は [常識が なかったものだから]、大変な 失礼を してしまった。~暑いものだから | Bởi vì hôm qua tôi đã thiếu kiến thức thông thường (xử sự kém) nên đã thất lễ rất nhiều. | Because I lacked common sense yesterday, I was very rude. | ~ので（理由の言い訳）。 | Bởi vì... (dùng để giải thích hoặc bao biện). | Because... (used for reasons or excuses). | Tuần_1_Ngày_2_N2
常に | tsuneni | Thường | Luôn luôn | Always | [常に 忙しいものだから]、家族との 時間が なかなか 取れない。~暑いものだから | Bởi vì lúc nào tôi cũng bận rộn nên mãi mà không dành được thời gian cho gia đình. | Because I'm always busy, I can't seem to find time for my family. | ~ので（理由の言い訳）。 | Bởi vì... (dùng để giải thích hoặc bao biện). | Because... (used for reasons or excuses). | Tuần_1_Ngày_2_N2
受験 | juken | Thụ Nghiệm | Dự thi | Taking an exam | [受験に 失敗したものだから]、彼は 一日中 落ち込んでいる。~暑いものだから | Bởi vì thi trượt nên anh ấy suốt cả ngày hôm nay cứ ủ rũ mãi. | Because he failed the exam, he has been depressed all day long. | ~ので（理由の言い訳）。 | Bởi vì... (dùng để giải thích hoặc bao biện). | Because... (used for reasons or excuses). | Tuần_1_Ngày_2_N2
受ける [他] | ukeru | Thụ | Nhận, dự | To take (exam) | 手術を [受けるのが 怖かったものだから]、病院へ 行くのを 遅らせてしまった。~暑いものだから | Bởi vì sợ phải phẫu thuật nên tôi đã trì hoãn việc đi đến bệnh viện. | Because I was afraid of undergoing surgery, I delayed going to the hospital. | ~ので（理由の言い訳）。 | Bởi vì... (dùng để giải thích hoặc bao biện). | Because... (used for reasons or excuses). | Tuần_1_Ngày_2_N2
付近 | fukin | Phụ Cận | Vùng phụ cận | Vicinity | [付近に 店がないものだから]、買い物に行くのが とても 不便だ。~暑いものだから | Bởi vì vùng phụ cận này không có cửa hàng nào nên việc đi mua sắm rất bất tiện. | Because there are no shops in the vicinity, going shopping is very inconvenient. | ~ので（理由の言い訳）。 | Bởi vì... (dùng để giải thích hoặc bao biện). | Because... (used for reasons or excuses). | Tuần_1_Ngày_2_N2
~付き | tsuki | Phó | Gắn với | Attached | [カメラ付きでは なかったものだから]、その 瞬間を 撮ることが できなかった。~暑いものだから | Bởi vì (điện thoại) không có gắn camera nên tôi đã không thể chụp lại khoảnh khắc đó. | Because it wasn't equipped with a camera, I couldn't take a picture of that moment. | ~ので（理由の言い訳）。 | Bởi vì... (dùng để giải thích hoặc bao biện). | Because... (used for reasons or excuses). | Tuần_1_Ngày_2_N2
受付 | uketsuke | Thụ Phó | Quầy tiếp tân | Reception | [受付が 混んでいたものだから]、会議に 遅れてしまった。~暑いものだから | Bởi vì quầy tiếp tân quá đông nên tôi đã bị muộn cuộc họp. | Because the reception was crowded, I was late for the meeting. | ~ので（理由の言い訳）。 | Bởi vì... (dùng để giải thích hoặc bao biện). | Because... (used for reasons or excuses). | Tuần_1_Ngày_2_N2
日付 | hiduke | Nhật Phó | Ngày tháng | Date | [日付を 間違えたものだから]、約束の 場所に 誰も いなかった。~暑いものだから | Bởi vì tôi nhầm ngày tháng nên chẳng có ai ở điểm hẹn cả. | Because I got the date wrong, there was no one at the meeting place. | ~ので（理由の言い訳）。 | Bởi vì... (dùng để giải thích hoặc bao biện). | Because... (used for reasons or excuses). | Tuần_1_Ngày_2_N2
案内 | annai | Án Nội | Hướng dẫn | Guidance | [案内の 説明が 悪かったものだから]、みんな 道に 迷ってしまった。~暑いものだから | Bởi vì lời giải thích hướng dẫn không tốt nên mọi người đều bị lạc đường. | Because the instructions were poor, everyone got lost. | ~ので（理由の言い訳）。 | Bởi vì... (dùng để giải thích hoặc bao biện). | Because... (used for reasons or excuses). | Tuần_1_Ngày_2_N2
案 | an | Án | Đề án, ý tưởng | Proposal | 私の [案を 却下されたんだもの]、もう 何も 言いたくない。~知らなかったんだもの | Tại vì đề án của tôi bị bác bỏ rồi mà, tôi chẳng muốn nói gì thêm nữa. | Because my proposal was rejected, I don't want to say anything more. | ~から（個人的な理由）。 | Tại vì... (lý do cá nhân, thường dùng trong văn nói). | Because... (personal reason, casual). | Tuần_1_Ngày_2_N2
以内 | inai | Dĩ Nội | Trong vòng | Within | [一時間以内に 終わらなかったんだもの]、叱られても 仕方がない。~知らなかったんだもの | Tại vì tôi đã không hoàn thành trong vòng một tiếng mà, bị mắng cũng đành chịu thôi. | Because I didn't finish it within an hour, I can't help being scolded. | ~から（個人的な理由）。 | Tại vì... (lý do cá nhân, thường dùng trong văn nói). | Because... (personal reason, casual). | Tuần_1_Ngày_2_N2
社内 | shanai | Xã Nội | Trong công ty | Within the company | [社内の ルールを 知らなかったんだもの]、悪気は なかったんです。~知らなかったんだもの | Tại vì tôi không biết quy định trong công ty mà, tôi không hề có ý xấu đâu. | Because I didn't know the company rules, I didn't mean any harm. | ~から（個人的な理由）。 | Tại vì... (lý do cá nhân, thường dùng trong văn nói). | Because... (personal reason, casual). | Tuần_1_Ngày_2_N2
~内 | nai | Nội | Trong~ | Inside | [時間内に 間に合わなかったんだもの]、不合格なのは 当然だ。~知らなかったんだもの | Tại vì tôi đã không kịp trong thời gian quy định mà, việc bị đánh trượt là đương nhiên. | Because I didn't make it in time, it's natural that I failed. | ~から（個人的な理由）。 | Tại vì... (lý do cá nhân, thường dùng trong văn nói). | Because... (personal reason, casual). | Tuần_1_Ngày_2_N2
内 | uchi | Nội | Bên trong | Inside | [内緒に していたんだもの]、誰にも 言わないで くださいね。~知らなかったんだもの | Tại vì tôi đã giữ bí mật mà, xin đừng nói với ai nhé. | Because I've been keeping it a secret, please don't tell anyone. | ~から（個人的な理由）。 | Tại vì... (lý do cá nhân, thường dùng trong văn nói). | Because... (personal reason, casual). | Tuần_1_Ngày_2_N2
会議室 | kaigishitsu | Hội Nghị Thất | Phòng họp | Meeting room | [会議室が 空いていなかったんだもの]、廊下で 話すしかなかった。~知らなかったんだもの | Tại vì phòng họp không còn trống mà, nên chúng tôi đành phải nói chuyện ở hành lang. | Because the meeting room wasn't available, we had to talk in the hallway. | ~から（個人的な理由）。 | Tại vì... (lý do cá nhân, thường dùng trong văn nói). | Because... (personal reason, casual). | Tuần_1_Ngày_2_N2
不思議(な) [な] | fushigi | Bất Tư Nghị | Lạ lùng | Mysterious | [不思議だと 思ったんだもの]、つい 質問して しまいました。~知らなかったんだもの | Tại vì tôi thấy lạ lùng mà, nên đã lỡ miệng hỏi mất rồi. | Because I thought it was mysterious, I ended up asking a question. | ~から（個人的な理由）。 | Tại vì... (lý do cá nhân, thường dùng trong văn nói). | Because... (personal reason, casual). | Tuần_1_Ngày_2_N2
議論 | giron | Nghị Luận | Thảo luận | Discussion | [議論が 終わらなかったんだもの]、結論は 出せません。~知らなかったんだもの | Tại vì cuộc thảo luận vẫn chưa kết thúc mà, nên chưa thể đưa ra kết luận. | Because the discussion hasn't finished, we can't reach a conclusion. | ~から（個人的な理由）。 | Tại vì... (lý do cá nhân, thường dùng trong văn nói). | Because... (personal reason, casual). | Tuần_1_Ngày_2_N2
議員 | giin | Nghị Viên | Nghị sĩ | Member of parliament | あの [議員に 反対したんだもの]、嫌われても 怖くない。~知らなかったんだもの | Tại vì tôi đã phản đối vị nghị sĩ đó mà, có bị ghét tôi cũng không sợ. | Because I opposed that politician, I'm not afraid of being disliked. | ~から（個人的な理由）。 | Tại vì... (lý do cá nhân, thường dùng trong văn nói). | Because... (personal reason, casual). | Tuần_1_Ngày_2_N2
文化 | bunka | Văn Hóa | Văn hóa | Culture | [日本の 文化を 知っているものの]、実際に 体験した ことは ない。~持っているものの | Mặc dù biết về văn hóa Nhật Bản nhưng tôi chưa từng thực sự trải nghiệm. | Although I know about Japanese culture, I have never actually experienced it. | ~けれども。 | Mặc dù... nhưng... | Although... but... | Tuần_1_Ngày_2_N2
化学 | kagaku | Hóa Học | Hóa học | Chemistry | [化学を 勉強しているものの]、実験は 苦手だ。~持っているものの | Mặc dù đang học hóa học nhưng tôi lại rất kém khoản thí nghiệm. | Although I'm studying chemistry, I'm not good at experiments. | ~けれども。 | Mặc dù... nhưng... | Although... but... | Tuần_1_Ngày_2_N2
~化 | ka | Hóa | ... hóa | ...-ization | 工業 [化が 進んでいるものの]、環境問題は 深刻だ。~持っているものの | Mặc dù quá trình công nghiệp hóa đang tiến triển nhưng vấn đề môi trường vẫn rất nghiêm trọng. | Although industrialization is progressing, environmental issues are serious. | ~けれども。 | Mặc dù... nhưng... | Although... but... | Tuần_1_Ngày_2_N2
化粧室 | keshoushitsu | Hóa Trang Thất | Phòng trang điểm | Powder room | [化粧室へ 行きたいものの]、今は 会議を 離れることが できない。~持っているものの | Mặc dù muốn đi đến phòng trang điểm nhưng bây giờ tôi không thể rời khỏi cuộc họp. | Although I want to go to the powder room, I can't leave the meeting right now. | ~けれども。 | Mặc dù... nhưng... | Although... but... | Tuần_1_Ngày_2_N2
階段 | kaidan | Giai Đoạn | Cầu thang | Stairs | [階段を 登るのは 疲れるものの]、健康のために 続けている。~持っているものの | Mặc dù việc leo cầu thang rất mệt nhưng tôi vẫn duy trì vì sức khỏe. | Although climbing the stairs is tiring, I continue to do it for my health. | ~けれども。 | Mặc dù... nhưng... | Although... but... | Tuần_1_Ngày_2_N2
~階 | kai | Giai | Tầng~ | ... floor | [高い 階に 住んでいるものの]、景色を 見る 余裕がない。~持っているものの | Mặc dù sống ở tầng cao nhưng tôi không có thời gian rảnh để ngắm cảnh. | Although I live on a high floor, I don't have time to look at the view. | ~けれども。 | Mặc dù... nhưng... | Although... but... | Tuần_1_Ngày_2_N2
段階 | dankai | Đoạn Giai | Giai đoạn | Stage | [最終 段階に 来ているものの]、まだ 油断は できない。~持っているものの | Mặc dù đã đến giai đoạn cuối cùng nhưng vẫn chưa thể lơ là được. | Although we have reached the final stage, we cannot let our guard down yet. | ~けれども。 | Mặc dù... nhưng... | Although... but... | Tuần_1_Ngày_2_N2
段 | dan | Đoạn | Bậc, bước | Step | [段差が あるものの]、気をつければ 大丈夫だ。~持っているものの | Mặc dù có bậc tam cấp (độ chênh lệch độ cao) nhưng nếu chú ý thì sẽ không sao. | Although there is a step, it's fine if you are careful. | ~けれども。 | Mặc dù... nhưng... | Although... but... | Tuần_1_Ngày_2_N2
